#hocc     Hist_00001
-180.000 0.001987097
-174.000 0.001174194
-168.000 0.000735484
-162.000 0.000445161
-156.000 0.000322581
-150.000 0.000174194
-144.000 0.000245161
-138.000 0.000103226
-132.000 0.000141935
-126.000 0.000129032
-120.000 0.000180645
-114.000 0.000283871
-108.000 0.000567742
-102.000 0.000890323
 -96.000 0.001464516
 -90.000 0.002632258
 -84.000 0.003890323
 -78.000 0.006238710
 -72.000 0.009761290
 -66.000 0.014612903
 -60.000 0.017464516
 -54.000 0.017458065
 -48.000 0.013819355
 -42.000 0.008174194
 -36.000 0.004793548
 -30.000 0.002393548
 -24.000 0.001045161
 -18.000 0.000490323
 -12.000 0.000193548
  -6.000 0.000103226
   0.000 0.000116129
   6.000 0.000064516
  12.000 0.000032258
  18.000 0.000070968
  24.000 0.000116129
  30.000 0.000264516
  36.000 0.000561290
  42.000 0.001374194
  48.000 0.004129032
  54.000 0.012058065
  60.000 0.031116129
  66.000 0.063580645
  72.000 0.110961290
  78.000 0.145277419
  84.000 0.150380645
  90.000 0.125638710
  96.000 0.086393548
 102.000 0.051600000
 108.000 0.029974194
 114.000 0.017600000
 120.000 0.011741935
 126.000 0.007974194
 132.000 0.006561290
 138.000 0.005529032
 144.000 0.005238710
 150.000 0.004870968
 156.000 0.004638710
 162.000 0.003967742
 168.000 0.003419355
 174.000 0.002832258
