#hocc     Hist_00002
    -180 0.007273333
    -174 0.005816667
    -168 0.004393333
    -162 0.003226667
    -156 0.002120000
    -150 0.001553333
    -144 0.001203333
    -138 0.001116667
    -132 0.001096667
    -126 0.001330000
    -120 0.001750000
    -114 0.003240000
    -108 0.005906667
    -102 0.010413333
     -96 0.018913333
     -90 0.029810000
     -84 0.038433333
     -78 0.040066667
     -72 0.034216667
     -66 0.026266667
     -60 0.020226667
     -54 0.015756667
     -48 0.011190000
     -42 0.006623333
     -36 0.003660000
     -30 0.001870000
     -24 0.000860000
     -18 0.000446667
     -12 0.000223333
      -6 0.000130000
       0 0.000120000
       6 0.000070000
      12 0.000080000
      18 0.000070000
      24 0.000166667
      30 0.000380000
      36 0.000753333
      42 0.001850000
      48 0.004606667
      54 0.011613333
      60 0.026526667
      66 0.051046667
      72 0.084756667
      78 0.108420000
      84 0.110930000
      90 0.091843333
      96 0.063370000
     102 0.038616667
     108 0.022343333
     114 0.013403333
     120 0.009106667
     126 0.006443333
     132 0.005656667
     138 0.005310000
     144 0.005453333
     150 0.006240000
     156 0.007146667
     162 0.007826667
     168 0.008510000
     174 0.008206667
