#hocc     Hist_00001
-180.000 0.000030769
-174.000 0.000053846
-168.000 0.000061538
-162.000 0.000023077
-156.000 0.000000000
-150.000 0.000007692
-144.000 0.000030769
-138.000 0.000007692
-132.000 0.000046154
-126.000 0.000053846
-120.000 0.000023077
-114.000 0.000023077
-108.000 0.000076923
-102.000 0.000238462
 -96.000 0.000930769
 -90.000 0.003761538
 -84.000 0.013130769
 -78.000 0.038946154
 -72.000 0.087146154
 -66.000 0.145330769
 -60.000 0.183276923
 -54.000 0.175576923
 -48.000 0.132676923
 -42.000 0.082700000
 -36.000 0.044261538
 -30.000 0.021830769
 -24.000 0.010853846
 -18.000 0.004607692
 -12.000 0.002261538
  -6.000 0.001046154
   0.000 0.000592308
   6.000 0.000246154
  12.000 0.000184615
  18.000 0.000107692
  24.000 0.000046154
  30.000 0.000061538
  36.000 0.000100000
  42.000 0.000100000
  48.000 0.000238462
  54.000 0.000700000
  60.000 0.001569231
  66.000 0.003338462
  72.000 0.005876923
  78.000 0.008084615
  84.000 0.008823077
  90.000 0.006969231
  96.000 0.005107692
 102.000 0.003261538
 108.000 0.001707692
 114.000 0.000984615
 120.000 0.000800000
 126.000 0.000461538
 132.000 0.000269231
 138.000 0.000330769
 144.000 0.000215385
 150.000 0.000253846
 156.000 0.000223077
 162.000 0.000169231
 168.000 0.000100000
 174.000 0.000061538
