#CYS77-4  Hist_00804
    -180 0.002286000
    -174 0.001408000
    -168 0.000848000
    -162 0.000456000
    -156 0.000336000
    -150 0.000222000
    -144 0.000146000
    -138 0.000162000
    -132 0.000162000
    -126 0.000140000
    -120 0.000134000
    -114 0.000300000
    -108 0.000394000
    -102 0.000544000
     -96 0.000864000
     -90 0.001340000
     -84 0.002038000
     -78 0.002670000
     -72 0.003406000
     -66 0.003800000
     -60 0.003474000
     -54 0.002798000
     -48 0.001968000
     -42 0.001260000
     -36 0.000948000
     -30 0.000472000
     -24 0.000288000
     -18 0.000256000
     -12 0.000198000
      -6 0.000186000
       0 0.000248000
       6 0.000426000
      12 0.000752000
      18 0.001886000
      24 0.004844000
      30 0.012654000
      36 0.030262000
      42 0.062410000
      48 0.105668000
      54 0.145792000
      60 0.158890000
      66 0.136842000
      72 0.096038000
      78 0.058780000
      84 0.033088000
      90 0.018632000
      96 0.011594000
     102 0.007832000
     108 0.006316000
     114 0.005692000
     120 0.005992000
     126 0.006546000
     132 0.006896000
     138 0.008054000
     144 0.008414000
     150 0.008370000
     156 0.007950000
     162 0.006788000
     168 0.005290000
     174 0.003550000
