#ARG71-5  Hist_00736
    -180 0.219574000
    -174 0.334720000
    -168 0.236960000
    -162 0.073864000
    -156 0.011720000
    -150 0.001312000
    -144 0.000246000
    -138 0.000048000
    -132 0.000016000
    -126 0.000008000
    -120 0.000006000
    -114 0.000006000
    -108 0.000012000
    -102 0.000038000
     -96 0.000078000
     -90 0.000176000
     -84 0.000404000
     -78 0.000620000
     -72 0.000624000
     -66 0.000472000
     -60 0.000222000
     -54 0.000088000
     -48 0.000026000
     -42 0.000010000
     -36 0.000000000
     -30 0.000000000
     -24 0.000006000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000004000
      18 0.000016000
      24 0.000038000
      30 0.000202000
      36 0.000546000
      42 0.001252000
      48 0.002126000
      54 0.002758000
      60 0.002404000
      66 0.001570000
      72 0.000778000
      78 0.000334000
      84 0.000146000
      90 0.000060000
      96 0.000030000
     102 0.000014000
     108 0.000004000
     114 0.000008000
     120 0.000008000
     126 0.000020000
     132 0.000036000
     138 0.000104000
     144 0.000368000
     150 0.001030000
     156 0.002826000
     162 0.006774000
     168 0.020196000
     174 0.075092000
