#GLY100-0  Hist_01044
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000000000
     -144 0.000000000
     -138 0.000000000
     -132 0.000000000
     -126 0.000000000
     -120 0.000000000
     -114 0.000000000
     -108 0.000000000
     -102 0.000000000
      -96 0.000000000
      -90 0.000000000
      -84 0.000000000
      -78 0.000000000
      -72 0.000000000
      -66 0.000000000
      -60 0.000000000
      -54 0.000000000
      -48 0.000000000
      -42 0.000000000
      -36 0.000000000
      -30 0.000000000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000002000
       18 0.000022000
       24 0.000072000
       30 0.000310000
       36 0.001652000
       42 0.006576000
       48 0.023256000
       54 0.061490000
       60 0.123932000
       66 0.184668000
       72 0.204868000
       78 0.170064000
       84 0.111270000
       90 0.060554000
       96 0.029286000
      102 0.012876000
      108 0.005380000
      114 0.002134000
      120 0.000922000
      126 0.000430000
      132 0.000152000
      138 0.000044000
      144 0.000030000
      150 0.000010000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
