#LEU209-0  Hist_02218
     -180 0.000000000
     -174 0.000002000
     -168 0.000000000
     -162 0.000004000
     -156 0.000006000
     -150 0.000032000
     -144 0.000038000
     -138 0.000064000
     -132 0.000122000
     -126 0.000272000
     -120 0.000508000
     -114 0.001232000
     -108 0.002480000
     -102 0.005552000
      -96 0.012504000
      -90 0.028526000
      -84 0.067542000
      -78 0.142122000
      -72 0.227740000
      -66 0.249060000
      -60 0.169890000
      -54 0.070774000
      -48 0.018196000
      -42 0.002976000
      -36 0.000330000
      -30 0.000024000
      -24 0.000004000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
