#PHE81-0  Hist_00840
    -180 0.040566000
    -174 0.127890000
    -168 0.233494000
    -162 0.258740000
    -156 0.185236000
    -150 0.092584000
    -144 0.036118000
    -138 0.011914000
    -132 0.003762000
    -126 0.001156000
    -120 0.000426000
    -114 0.000156000
    -108 0.000054000
    -102 0.000038000
     -96 0.000020000
     -90 0.000000000
     -84 0.000006000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000048000
     168 0.000690000
     174 0.007102000
