#ALA186-3  Hist_01984
     -180 0.065354000
     -174 0.060632000
     -168 0.042242000
     -162 0.024036000
     -156 0.010604000
     -150 0.004108000
     -144 0.001570000
     -138 0.000610000
     -132 0.000256000
     -126 0.000166000
     -120 0.000138000
     -114 0.000174000
     -108 0.000292000
     -102 0.000546000
      -96 0.001474000
      -90 0.003616000
      -84 0.009256000
      -78 0.020044000
      -72 0.037014000
      -66 0.055676000
      -60 0.064794000
      -54 0.057796000
      -48 0.039294000
      -42 0.021248000
      -36 0.009300000
      -30 0.003644000
      -24 0.001396000
      -18 0.000522000
      -12 0.000254000
       -6 0.000142000
        0 0.000126000
        6 0.000178000
       12 0.000272000
       18 0.000620000
       24 0.001484000
       30 0.003702000
       36 0.009198000
       42 0.019904000
       48 0.036894000
       54 0.054726000
       60 0.064716000
       66 0.059808000
       72 0.042528000
       78 0.024496000
       84 0.011146000
       90 0.004632000
       96 0.001806000
      102 0.000690000
      108 0.000318000
      114 0.000162000
      120 0.000138000
      126 0.000140000
      132 0.000224000
      138 0.000564000
      144 0.001376000
      150 0.003470000
      156 0.008630000
      162 0.019588000
      168 0.036520000
      174 0.055746000
