#LEU5-3   Hist_00054
    -180 0.191896000
    -174 0.089732000
    -168 0.031938000
    -162 0.011898000
    -156 0.005530000
    -150 0.003038000
    -144 0.001880000
    -138 0.001490000
    -132 0.001120000
    -126 0.000986000
    -120 0.000970000
    -114 0.001104000
    -108 0.001434000
    -102 0.001966000
     -96 0.002434000
     -90 0.002886000
     -84 0.003196000
     -78 0.003302000
     -72 0.004064000
     -66 0.005250000
     -60 0.005178000
     -54 0.003510000
     -48 0.001756000
     -42 0.000682000
     -36 0.000164000
     -30 0.000036000
     -24 0.000014000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000002000
      54 0.000000000
      60 0.000002000
      66 0.000002000
      72 0.000004000
      78 0.000010000
      84 0.000000000
      90 0.000002000
      96 0.000002000
     102 0.000002000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000002000
     132 0.000004000
     138 0.000082000
     144 0.000678000
     150 0.005400000
     156 0.029552000
     162 0.102874000
     168 0.217636000
     174 0.266292000
