#LEU63-3  Hist_00650
    -180 0.167010000
    -174 0.149156000
    -168 0.105160000
    -162 0.060728000
    -156 0.029196000
    -150 0.011878000
    -144 0.004544000
    -138 0.001920000
    -132 0.001162000
    -126 0.000952000
    -120 0.001126000
    -114 0.001322000
    -108 0.002064000
    -102 0.003292000
     -96 0.005320000
     -90 0.008216000
     -84 0.013128000
     -78 0.022626000
     -72 0.034902000
     -66 0.045200000
     -60 0.041820000
     -54 0.027768000
     -48 0.013110000
     -42 0.004192000
     -36 0.000976000
     -30 0.000216000
     -24 0.000028000
     -18 0.000010000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000006000
      30 0.000008000
      36 0.000040000
      42 0.000110000
      48 0.000250000
      54 0.000294000
      60 0.000290000
      66 0.000240000
      72 0.000310000
      78 0.000282000
      84 0.000280000
      90 0.000186000
      96 0.000098000
     102 0.000044000
     108 0.000024000
     114 0.000014000
     120 0.000008000
     126 0.000022000
     132 0.000016000
     138 0.000046000
     144 0.000268000
     150 0.001330000
     156 0.006870000
     162 0.026708000
     168 0.072236000
     174 0.132998000
