#VAL202-3  Hist_02154
     -180 0.140498000
     -174 0.066284000
     -168 0.022830000
     -162 0.006220000
     -156 0.001556000
     -150 0.000404000
     -144 0.000104000
     -138 0.000030000
     -132 0.000016000
     -126 0.000006000
     -120 0.000000000
     -114 0.000012000
     -108 0.000010000
     -102 0.000052000
      -96 0.000120000
      -90 0.000420000
      -84 0.001642000
      -78 0.004882000
      -72 0.010592000
      -66 0.017574000
      -60 0.020706000
      -54 0.017640000
      -48 0.010434000
      -42 0.004256000
      -36 0.001228000
      -30 0.000282000
      -24 0.000086000
      -18 0.000016000
      -12 0.000006000
       -6 0.000002000
        0 0.000000000
        6 0.000004000
       12 0.000000000
       18 0.000002000
       24 0.000016000
       30 0.000112000
       36 0.000520000
       42 0.001782000
       48 0.005978000
       54 0.013080000
       60 0.020336000
       66 0.020736000
       72 0.015242000
       78 0.008062000
       84 0.003356000
       90 0.001270000
       96 0.000412000
      102 0.000134000
      108 0.000060000
      114 0.000050000
      120 0.000044000
      126 0.000076000
      132 0.000236000
      138 0.000852000
      144 0.003790000
      150 0.015240000
      156 0.049806000
      162 0.117966000
      168 0.190358000
      174 0.202572000
