#PHE137-4  Hist_01434
     -180 0.000128000
     -174 0.000108000
     -168 0.000112000
     -162 0.000272000
     -156 0.000390000
     -150 0.000596000
     -144 0.000960000
     -138 0.001396000
     -132 0.001754000
     -126 0.002498000
     -120 0.002870000
     -114 0.004318000
     -108 0.006116000
     -102 0.009618000
      -96 0.016264000
      -90 0.027450000
      -84 0.042476000
      -78 0.061084000
      -72 0.078500000
      -66 0.085962000
      -60 0.079710000
      -54 0.060278000
      -48 0.037058000
      -42 0.020326000
      -36 0.010148000
      -30 0.004972000
      -24 0.002422000
      -18 0.001240000
      -12 0.000558000
       -6 0.000244000
        0 0.000124000
        6 0.000086000
       12 0.000046000
       18 0.000050000
       24 0.000048000
       30 0.000052000
       36 0.000146000
       42 0.000210000
       48 0.000334000
       54 0.000636000
       60 0.001036000
       66 0.001794000
       72 0.003470000
       78 0.006498000
       84 0.013086000
       90 0.023288000
       96 0.037634000
      102 0.051200000
      108 0.062598000
      114 0.066134000
      120 0.059200000
      126 0.044602000
      132 0.029332000
      138 0.017310000
      144 0.010118000
      150 0.005538000
      156 0.003054000
      162 0.001522000
      168 0.000706000
      174 0.000320000
