#ARG119-6  Hist_01244
     -180 0.043444000
     -174 0.038490000
     -168 0.032252000
     -162 0.025406000
     -156 0.019992000
     -150 0.015968000
     -144 0.013112000
     -138 0.011120000
     -132 0.010786000
     -126 0.010914000
     -120 0.012578000
     -114 0.015270000
     -108 0.018728000
     -102 0.023224000
      -96 0.027450000
      -90 0.029172000
      -84 0.027402000
      -78 0.022228000
      -72 0.015092000
      -66 0.008342000
      -60 0.003520000
      -54 0.001368000
      -48 0.000348000
      -42 0.000092000
      -36 0.000016000
      -30 0.000014000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000002000
        0 0.000000000
        6 0.000002000
       12 0.000002000
       18 0.000002000
       24 0.000016000
       30 0.000068000
       36 0.000264000
       42 0.000924000
       48 0.002654000
       54 0.006226000
       60 0.012152000
       66 0.019558000
       72 0.027344000
       78 0.032120000
       84 0.033282000
       90 0.031244000
       96 0.026198000
      102 0.021402000
      108 0.017354000
      114 0.014872000
      120 0.014156000
      126 0.015620000
      132 0.018764000
      138 0.023738000
      144 0.030150000
      150 0.037072000
      156 0.043554000
      162 0.047544000
      168 0.049568000
      174 0.047820000
