#SER30-0  Hist_00306
    -180 0.000764000
    -174 0.004824000
    -168 0.018394000
    -162 0.046642000
    -156 0.081166000
    -150 0.104386000
    -144 0.107588000
    -138 0.095986000
    -132 0.079370000
    -126 0.065840000
    -120 0.056210000
    -114 0.051952000
    -108 0.049252000
    -102 0.049190000
     -96 0.048038000
     -90 0.044148000
     -84 0.037528000
     -78 0.027254000
     -72 0.017302000
     -66 0.009120000
     -60 0.003544000
     -54 0.001168000
     -48 0.000218000
     -42 0.000044000
     -36 0.000002000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000008000
     174 0.000062000
