#ARG113-3  Hist_01190
     -180 0.054796000
     -174 0.111520000
     -168 0.191388000
     -162 0.194610000
     -156 0.112682000
     -150 0.046410000
     -144 0.017820000
     -138 0.006806000
     -132 0.002458000
     -126 0.000968000
     -120 0.000518000
     -114 0.000452000
     -108 0.000546000
     -102 0.001116000
      -96 0.002730000
      -90 0.006530000
      -84 0.013872000
      -78 0.025476000
      -72 0.036274000
      -66 0.039520000
      -60 0.032132000
      -54 0.019276000
      -48 0.008798000
      -42 0.003116000
      -36 0.000902000
      -30 0.000268000
      -24 0.000060000
      -18 0.000024000
      -12 0.000000000
       -6 0.000008000
        0 0.000002000
        6 0.000000000
       12 0.000004000
       18 0.000012000
       24 0.000046000
       30 0.000110000
       36 0.000392000
       42 0.001084000
       48 0.002440000
       54 0.003836000
       60 0.004046000
       66 0.003070000
       72 0.001544000
       78 0.000510000
       84 0.000172000
       90 0.000046000
       96 0.000016000
      102 0.000006000
      108 0.000008000
      114 0.000016000
      120 0.000008000
      126 0.000024000
      132 0.000056000
      138 0.000120000
      144 0.000320000
      150 0.000922000
      156 0.002516000
      162 0.006318000
      168 0.013616000
      174 0.027664000
