#GLN2-3   Hist_00018
    -180 0.110238000
    -174 0.098722000
    -168 0.062610000
    -162 0.029678000
    -156 0.011108000
    -150 0.003930000
    -144 0.001560000
    -138 0.000624000
    -132 0.000364000
    -126 0.000272000
    -120 0.000214000
    -114 0.000224000
    -108 0.000568000
    -102 0.001524000
     -96 0.004226000
     -90 0.011480000
     -84 0.026484000
     -78 0.049092000
     -72 0.067294000
     -66 0.070302000
     -60 0.056174000
     -54 0.034612000
     -48 0.016880000
     -42 0.006998000
     -36 0.002664000
     -30 0.000978000
     -24 0.000292000
     -18 0.000092000
     -12 0.000042000
      -6 0.000016000
       0 0.000018000
       6 0.000014000
      12 0.000012000
      18 0.000042000
      24 0.000114000
      30 0.000360000
      36 0.001376000
      42 0.004018000
      48 0.010084000
      54 0.020184000
      60 0.030914000
      66 0.036526000
      72 0.032860000
      78 0.021634000
      84 0.010846000
      90 0.004306000
      96 0.001368000
     102 0.000412000
     108 0.000134000
     114 0.000056000
     120 0.000034000
     126 0.000028000
     132 0.000036000
     138 0.000086000
     144 0.000318000
     150 0.001380000
     156 0.005256000
     162 0.017536000
     168 0.045496000
     174 0.085290000
