#PHE152-3  Hist_01592
     -180 0.001486000
     -174 0.001238000
     -168 0.000792000
     -162 0.000420000
     -156 0.000188000
     -150 0.000112000
     -144 0.000108000
     -138 0.000122000
     -132 0.000140000
     -126 0.000210000
     -120 0.000346000
     -114 0.000738000
     -108 0.001886000
     -102 0.005662000
      -96 0.017126000
      -90 0.046122000
      -84 0.102804000
      -78 0.170352000
      -72 0.211294000
      -66 0.192716000
      -60 0.130608000
      -54 0.066048000
      -48 0.025874000
      -42 0.008334000
      -36 0.002402000
      -30 0.000678000
      -24 0.000172000
      -18 0.000048000
      -12 0.000022000
       -6 0.000012000
        0 0.000010000
        6 0.000012000
       12 0.000018000
       18 0.000048000
       24 0.000154000
       30 0.000242000
       36 0.000622000
       42 0.000968000
       48 0.001380000
       54 0.001612000
       60 0.001446000
       66 0.001262000
       72 0.000742000
       78 0.000402000
       84 0.000168000
       90 0.000074000
       96 0.000026000
      102 0.000014000
      108 0.000004000
      114 0.000004000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000004000
      144 0.000022000
      150 0.000044000
      156 0.000154000
      162 0.000414000
      168 0.000768000
      174 0.001326000
