#THR4-3   Hist_00042
    -180 0.004162000
    -174 0.003418000
    -168 0.002270000
    -162 0.001084000
    -156 0.000482000
    -150 0.000160000
    -144 0.000052000
    -138 0.000010000
    -132 0.000004000
    -126 0.000012000
    -120 0.000010000
    -114 0.000014000
    -108 0.000072000
    -102 0.000246000
     -96 0.001216000
     -90 0.005530000
     -84 0.019980000
     -78 0.054106000
     -72 0.102342000
     -66 0.131880000
     -60 0.121534000
     -54 0.076766000
     -48 0.033590000
     -42 0.010526000
     -36 0.002466000
     -30 0.000624000
     -24 0.000140000
     -18 0.000038000
     -12 0.000014000
      -6 0.000008000
       0 0.000004000
       6 0.000012000
      12 0.000004000
      18 0.000018000
      24 0.000080000
      30 0.000300000
      36 0.001216000
      42 0.004518000
      48 0.014758000
      54 0.038946000
      60 0.078738000
      66 0.108670000
      72 0.096482000
      78 0.051686000
      84 0.017502000
      90 0.004232000
      96 0.000704000
     102 0.000136000
     108 0.000028000
     114 0.000006000
     120 0.000004000
     126 0.000008000
     132 0.000004000
     138 0.000020000
     144 0.000074000
     150 0.000238000
     156 0.000690000
     162 0.001588000
     168 0.002672000
     174 0.003906000
