#TRP141-4  Hist_01484
     -180 0.000000000
     -174 0.000000000
     -168 0.000000000
     -162 0.000000000
     -156 0.000000000
     -150 0.000002000
     -144 0.000000000
     -138 0.000008000
     -132 0.000154000
     -126 0.001688000
     -120 0.010538000
     -114 0.047358000
     -108 0.133230000
     -102 0.236454000
      -96 0.264780000
      -90 0.188616000
      -84 0.086000000
      -78 0.024984000
      -72 0.005208000
      -66 0.000860000
      -60 0.000102000
      -54 0.000008000
      -48 0.000008000
      -42 0.000000000
      -36 0.000000000
      -30 0.000002000
      -24 0.000000000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000000000
