#HID69-0  Hist_00726
    -180 0.000000000
    -174 0.000004000
    -168 0.000034000
    -162 0.000212000
    -156 0.001024000
    -150 0.003800000
    -144 0.010144000
    -138 0.020356000
    -132 0.031322000
    -126 0.041728000
    -120 0.051056000
    -114 0.061772000
    -108 0.076182000
    -102 0.094150000
     -96 0.116444000
     -90 0.134686000
     -84 0.134042000
     -78 0.109318000
     -72 0.069692000
     -66 0.031270000
     -60 0.010040000
     -54 0.002302000
     -48 0.000376000
     -42 0.000044000
     -36 0.000000000
     -30 0.000002000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
