#PHE152-0  Hist_01586
     -180 0.000032000
     -174 0.000164000
     -168 0.000800000
     -162 0.002814000
     -156 0.008242000
     -150 0.018650000
     -144 0.030272000
     -138 0.038292000
     -132 0.039118000
     -126 0.036108000
     -120 0.032342000
     -114 0.030546000
     -108 0.031870000
     -102 0.037520000
      -96 0.048958000
      -90 0.069120000
      -84 0.097706000
      -78 0.127346000
      -72 0.137474000
      -66 0.111978000
      -60 0.064980000
      -54 0.026294000
      -48 0.007538000
      -42 0.001524000
      -36 0.000260000
      -30 0.000046000
      -24 0.000002000
      -18 0.000000000
      -12 0.000000000
       -6 0.000000000
        0 0.000000000
        6 0.000000000
       12 0.000000000
       18 0.000000000
       24 0.000000000
       30 0.000000000
       36 0.000000000
       42 0.000000000
       48 0.000000000
       54 0.000000000
       60 0.000000000
       66 0.000000000
       72 0.000000000
       78 0.000000000
       84 0.000000000
       90 0.000000000
       96 0.000000000
      102 0.000000000
      108 0.000000000
      114 0.000000000
      120 0.000000000
      126 0.000000000
      132 0.000000000
      138 0.000000000
      144 0.000000000
      150 0.000000000
      156 0.000000000
      162 0.000000000
      168 0.000000000
      174 0.000004000
