#ARG14-1  Hist_00148
    -180 0.000022000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000002000
       0 0.000000000
       6 0.000002000
      12 0.000006000
      18 0.000010000
      24 0.000026000
      30 0.000026000
      36 0.000050000
      42 0.000040000
      48 0.000044000
      54 0.000054000
      60 0.000066000
      66 0.000108000
      72 0.000202000
      78 0.000384000
      84 0.000896000
      90 0.002478000
      96 0.007042000
     102 0.021100000
     108 0.055542000
     114 0.116460000
     120 0.184558000
     126 0.215538000
     132 0.189002000
     138 0.121556000
     144 0.056580000
     150 0.019988000
     156 0.005856000
     162 0.001790000
     168 0.000492000
     174 0.000080000
