#TRP6-1   Hist_00058
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000004000
     -96 0.000034000
     -90 0.000070000
     -84 0.000270000
     -78 0.000872000
     -72 0.002830000
     -66 0.007954000
     -60 0.018924000
     -54 0.038956000
     -48 0.066472000
     -42 0.095270000
     -36 0.118998000
     -30 0.131450000
     -24 0.131912000
     -18 0.122132000
     -12 0.100230000
      -6 0.071492000
       0 0.042652000
       6 0.023078000
      12 0.011278000
      18 0.005816000
      24 0.003790000
      30 0.002404000
      36 0.001724000
      42 0.000914000
      48 0.000350000
      54 0.000106000
      60 0.000016000
      66 0.000002000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
