#MET145-4  Hist_01538
     -180 0.084142000
     -174 0.069138000
     -168 0.050008000
     -162 0.033442000
     -156 0.020538000
     -150 0.012004000
     -144 0.006920000
     -138 0.004142000
     -132 0.002676000
     -126 0.001822000
     -120 0.001504000
     -114 0.001726000
     -108 0.002476000
     -102 0.004052000
      -96 0.007088000
      -90 0.011692000
      -84 0.015774000
      -78 0.019130000
      -72 0.021638000
      -66 0.022940000
      -60 0.019704000
      -54 0.012458000
      -48 0.005360000
      -42 0.001744000
      -36 0.000402000
      -30 0.000078000
      -24 0.000016000
      -18 0.000002000
      -12 0.000002000
       -6 0.000000000
        0 0.000000000
        6 0.000004000
       12 0.000006000
       18 0.000018000
       24 0.000104000
       30 0.000482000
       36 0.001982000
       42 0.006322000
       48 0.014962000
       54 0.026086000
       60 0.034050000
       66 0.035262000
       72 0.029514000
       78 0.020706000
       84 0.012960000
       90 0.007334000
       96 0.004194000
      102 0.002546000
      108 0.001846000
      114 0.001550000
      120 0.001876000
      126 0.002680000
      132 0.004372000
      138 0.008060000
      144 0.015208000
      150 0.029036000
      156 0.050184000
      162 0.073340000
      168 0.089540000
      174 0.093158000
