#PHE203-4  Hist_02130
     -180 0.001778000
     -174 0.001734000
     -168 0.001624000
     -162 0.001514000
     -156 0.001386000
     -150 0.001252000
     -144 0.001172000
     -138 0.001006000
     -132 0.001018000
     -126 0.000790000
     -120 0.000724000
     -114 0.000812000
     -108 0.001212000
     -102 0.002348000
      -96 0.004538000
      -90 0.008240000
      -84 0.012920000
      -78 0.017522000
      -72 0.019318000
      -66 0.017556000
      -60 0.013494000
      -54 0.009324000
      -48 0.005636000
      -42 0.003436000
      -36 0.001916000
      -30 0.001244000
      -24 0.000760000
      -18 0.000512000
      -12 0.000302000
       -6 0.000250000
        0 0.000174000
        6 0.000140000
       12 0.000104000
       18 0.000100000
       24 0.000082000
       30 0.000156000
       36 0.000146000
       42 0.000210000
       48 0.000374000
       54 0.000992000
       60 0.003048000
       66 0.009682000
       72 0.027048000
       78 0.055496000
       84 0.085686000
       90 0.105488000
       96 0.113186000
      102 0.112536000
      108 0.104596000
      114 0.086146000
      120 0.062218000
      126 0.039672000
      132 0.023776000
      138 0.013482000
      144 0.007352000
      150 0.004250000
      156 0.002700000
      162 0.002060000
      168 0.001912000
      174 0.001850000
