#PRO9-4   Hist_00104
    -180 0.000000000
    -174 0.000000000
    -168 0.000000000
    -162 0.000000000
    -156 0.000000000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000042000
     -54 0.007162000
     -48 0.110056000
     -42 0.341648000
     -36 0.318398000
     -30 0.125908000
     -24 0.029736000
     -18 0.006300000
     -12 0.001562000
      -6 0.000616000
       0 0.000488000
       6 0.000596000
      12 0.001044000
      18 0.002974000
      24 0.008460000
      30 0.017790000
      36 0.018942000
      42 0.007524000
      48 0.000744000
      54 0.000010000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000000000
     168 0.000000000
     174 0.000000000
