#GLN7-6   Hist_00078
    -180 0.201540000
    -174 0.153882000
    -168 0.087350000
    -162 0.038804000
    -156 0.013602000
    -150 0.003610000
    -144 0.000894000
    -138 0.000158000
    -132 0.000044000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000004000
     126 0.000028000
     132 0.000134000
     138 0.000762000
     144 0.003506000
     150 0.013658000
     156 0.038522000
     162 0.088196000
     168 0.153556000
     174 0.201750000
