#LYS45-6  Hist_00488
    -180 0.114278000
    -174 0.087000000
    -168 0.054600000
    -162 0.029062000
    -156 0.013974000
    -150 0.006434000
    -144 0.003100000
    -138 0.001634000
    -132 0.001142000
    -126 0.000868000
    -120 0.000968000
    -114 0.001414000
    -108 0.002144000
    -102 0.003644000
     -96 0.006202000
     -90 0.010112000
     -84 0.014994000
     -78 0.018738000
     -72 0.020254000
     -66 0.017964000
     -60 0.012720000
     -54 0.007152000
     -48 0.003086000
     -42 0.001182000
     -36 0.000316000
     -30 0.000086000
     -24 0.000036000
     -18 0.000018000
     -12 0.000004000
      -6 0.000002000
       0 0.000006000
       6 0.000004000
      12 0.000012000
      18 0.000038000
      24 0.000120000
      30 0.000368000
      36 0.001304000
      42 0.004016000
      48 0.009780000
      54 0.020278000
      60 0.031634000
      66 0.037840000
      72 0.035152000
      78 0.025582000
      84 0.015998000
      90 0.008638000
      96 0.004490000
     102 0.002458000
     108 0.001484000
     114 0.001208000
     120 0.001088000
     126 0.001458000
     132 0.002372000
     138 0.004314000
     144 0.009232000
     150 0.019320000
     156 0.038772000
     162 0.068620000
     168 0.101276000
     174 0.120010000
