#PRO79-2  Hist_00822
    -180 0.195592000
    -174 0.102842000
    -168 0.041612000
    -162 0.014716000
    -156 0.003746000
    -150 0.000620000
    -144 0.000072000
    -138 0.000010000
    -132 0.000004000
    -126 0.000002000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000002000
     132 0.000026000
     138 0.000216000
     144 0.001596000
     150 0.009682000
     156 0.040380000
     162 0.115656000
     168 0.215602000
     174 0.257624000
