#LYS20-0  Hist_00208
    -180 0.001394000
    -174 0.008486000
    -168 0.030450000
    -162 0.077328000
    -156 0.147720000
    -150 0.205440000
    -144 0.203366000
    -138 0.147944000
    -132 0.084194000
    -126 0.042642000
    -120 0.020588000
    -114 0.010468000
    -108 0.005826000
    -102 0.003702000
     -96 0.002718000
     -90 0.002196000
     -84 0.001874000
     -78 0.001420000
     -72 0.001092000
     -66 0.000606000
     -60 0.000254000
     -54 0.000090000
     -48 0.000012000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000000000
       0 0.000000000
       6 0.000000000
      12 0.000000000
      18 0.000000000
      24 0.000000000
      30 0.000000000
      36 0.000000000
      42 0.000000000
      48 0.000000000
      54 0.000000000
      60 0.000000000
      66 0.000000000
      72 0.000000000
      78 0.000000000
      84 0.000000000
      90 0.000000000
      96 0.000000000
     102 0.000000000
     108 0.000000000
     114 0.000000000
     120 0.000000000
     126 0.000000000
     132 0.000000000
     138 0.000000000
     144 0.000000000
     150 0.000000000
     156 0.000000000
     162 0.000002000
     168 0.000006000
     174 0.000182000
