#LYS41-1  Hist_00424
    -180 0.006470000
    -174 0.001448000
    -168 0.000236000
    -162 0.000032000
    -156 0.000002000
    -150 0.000000000
    -144 0.000000000
    -138 0.000000000
    -132 0.000000000
    -126 0.000000000
    -120 0.000000000
    -114 0.000000000
    -108 0.000000000
    -102 0.000000000
     -96 0.000000000
     -90 0.000000000
     -84 0.000000000
     -78 0.000000000
     -72 0.000000000
     -66 0.000000000
     -60 0.000000000
     -54 0.000000000
     -48 0.000000000
     -42 0.000000000
     -36 0.000000000
     -30 0.000000000
     -24 0.000000000
     -18 0.000000000
     -12 0.000000000
      -6 0.000002000
       0 0.000002000
       6 0.000004000
      12 0.000004000
      18 0.000008000
      24 0.000016000
      30 0.000034000
      36 0.000078000
      42 0.000176000
      48 0.000288000
      54 0.000630000
      60 0.001092000
      66 0.001410000
      72 0.001884000
      78 0.002210000
      84 0.002742000
      90 0.003488000
      96 0.004718000
     102 0.007546000
     108 0.011960000
     114 0.018614000
     120 0.028340000
     126 0.043862000
     132 0.069156000
     138 0.106998000
     144 0.150562000
     150 0.177190000
     156 0.164074000
     162 0.114264000
     168 0.058086000
     174 0.022374000
